SSID,BSSID,RSSI,Auth,Channel,Label
Hotspot-Hotspot4971,26:a8:88:e5:09:01,-56,WPA3,11,fake
MyAP_9364,23:ba:a7:91:46:46,-35,WPA3,2,real
Building-317,7a:61:19:c1:91:79,-53,Open,11,real
Linksys-2397,ab:d0:d5:c2:81:62,-77,WPA2,13,real
Smith_7550,51:04:96:d8:dc:8a,-36,WPA2,5,real
Smith-7237,91:e6:08:2b:e6:a0,-55,WPA2-Enterprise,3,real
Apartment_799,69:0f:7a:de:35:9f,-45,WPA2,10,real
Residence-9596,35:b9:04:05:69:78,-59,WPA3,11,real
Guest_Free_4146,0e:cf:f4:a7:20:83,-30,WPA2-Enterprise,11,fake
Cafe-8413,6e:12:bb:88:fc:c1,-60,Open,13,fake
TPLink_2692,5f:ba:57:89:13:ac,-78,WEP,4,real
Lobby Guest1059,15:41:45:63:92:d2,-75,WPA3,12,fake
TPLink_1195,c4:c1:34:5b:df:3f,-46,WEP,13,real
Building-1387,9a:b5:26:de:31:4e,-66,WPA2-Enterprise,8,real
TPLink_2675,aa:45:7d:39:ee:a9,-59,WPA2,9,real
Tower_7842,b7:6c:5b:d3:94:00,-80,Open,2,real
Apartment_1882,70:27:51:4b:e3:59,-79,WPA2,8,real
Tower_3148,58:10:c2:fe:a7:a7,-34,Open,10,real
Home_8539,8f:d8:14:b3:3a:d5,-62,Open,1,real
FreeWiFi_7453,2b:1b:04:4a:4b:4f,-67,WPA2,8,fake
Anderson-2941,05:e5:9a:9f:0b:b9,-40,Open,8,real
Xfinity Free 5352,97:f7:86:91:bd:fc,-35,Open,7,fake
Cafe6705,a5:53:cc:91:b1:20,-68,WPA2,5,fake
Lobby_WiFi_4101,57:6b:1b:02:b1:0c,-31,WPA3,10,fake
Residence-224,4c:f0:b1:22:22:29,-35,WPA2-Enterprise,12,real
Library9924.,e7:a9:7b:45:1c:8e,-61,WPA2-Enterprise,13,fake
Anderson_2943,36:d0:73:48:34:14,-38,WPA2,8,real
MyWiFiGuest9652,e9:b9:30:04:45:83,-90,WPA3,3,fake
Shop_Airport9838,39:95:f8:37:51:e2,-78,WPA2-Enterprise,3,fake
NETGEAR2279 Network-,20:32:e9:f9:73:e3,-88,Open,9,fake
Tower-3866,cb:e3:4e:fb:fb:d8,-78,Open,6,real
wifi-wifi9930,61:3d:d1:e2:4f:b1,-59,WPA3,5,fake
Hotel_Guest,b3:a3:4a:47:2f:62,-31,WPA3,8,fake
Dorm_2327,dd:a2:3b:fb:5a:ba,-30,WEP,7,real
McDonalds_WiFi_1089,cf:1d:da:e4:7d:52,-65,WPA2-Enterprise,4,fake
free3223,4d:88:83:e6:d1:9e,-70,Open,8,fake
FreeWiFi 3409,3a:49:78:a8:f2:ba,-34,Open,6,fake
FreeWiFi_5855,6c:58:32:6d:1d:a1,-82,WPA2,1,fake
NET_1003,fa:bb:3b:01:f6:c0,-54,WEP,10,real
Hotspot-Hotspot2805,0b:a9:bf:ba:c5:84,-77,Open,7,fake
_guest_netgear622,58:1c:e9:5e:25:6c,-33,WPA2-Enterprise,2,fake
Linda_4016,72:5c:d7:2a:c2:ec,-89,WPA2,2,real
Smith-7646,78:ad:be:21:00:9a,-76,WPA2-Enterprise,7,real
Anderson-5507,c8:1a:29:63:7e:00,-45,Open,2,real
NET-3524,85:de:6b:3c:76:81,-39,WPA3,5,real
MyAP-9427,9c:5e:b0:d5:c8:dc,-43,WPA2-Enterprise,13,real
Campus-5533,c8:14:d5:1b:0c:77,-44,WEP,13,real
Campus_9033,c2:69:06:79:c3:18,-90,WEP,5,real
Hotspot-Hotspot211,5d:4a:b5:82:93:fa,-39,WEP,8,fake
bt1256 shop,63:0b:09:5f:5c:21,-74,Open,8,fake
WiFi-WiFi6309,e7:80:20:b5:11:15,-78,WPA2,1,fake
Campus_WiFi_4563,64:aa:95:af:e8:86,-79,WEP,1,fake
Home-4083,7f:3c:83:2b:05:24,-57,WPA2-Enterprise,12,real
Campus_9986,aa:13:e8:d5:c2:73,-70,Open,9,real
wifi-wifi9914,18:b0:14:b3:a0:90,-34,WPA2,7,fake
NET-5549,d5:94:da:db:2e:f2,-37,WEP,11,real
McDonaldsGuest629,bb:30:bc:a2:45:05,-41,WPA2-Enterprise,11,fake
Guest_Lobby4764,40:37:21:3c:b6:7e,-43,Open,13,fake
Home_2692,c9:e1:d7:6b:79:4f,-73,Open,8,real
FreeWiFi_9102!,ad:64:68:85:e0:4d,-54,WPA3,1,fake
mywifi_free_6813,dd:9c:f8:51:1a:33,-60,WPA3,10,fake
NET-1141,1c:e1:af:b0:2f:c0,-46,Open,11,real
Residence-1727,bd:a5:a1:96:70:73,-62,Open,5,real
TPLink_9026,00:62:e0:c4:ef:67,-52,WPA3,9,real
NET_1374,96:9f:b8:70:48:b6,-52,WPA2-Enterprise,12,real
Office1495,04:f1:e0:41:a2:f4,-33,WPA3,1,fake
Linksys-2483,f8:11:b6:35:48:43,-61,WPA2-Enterprise,10,real
Office Free 3086,f7:01:73:86:bf:23,-37,Open,3,fake
Campus-4772,ea:55:3a:06:39:05,-43,WPA2-Enterprise,11,real
campus7754 guest,5b:55:25:b5:ec:19,-30,WEP,12,fake
freewifi_1865,e3:93:60:d9:d5:ad,-69,WPA2-Enterprise,13,fake
Residence-8201,09:e5:5f:9e:48:ba,-60,WPA2,3,real
GuestNet-GuestNet9528,3c:f1:7f:41:a5:81,-44,WPA2-Enterprise,1,fake
Cafe WiFi 5101,26:37:c2:74:6e:e0,-75,WPA2,4,fake
Linksys_4234,45:fa:f2:92:c3:e0,-78,WPA3,12,real
Starbucks-ckba_,3b:e4:0e:2e:8e:43,-35,Open,2,fake
Building_2813,9a:fb:c2:84:db:a1,-37,WPA2,7,real
Apartment_1562,a6:cb:28:14:5b:e2,-62,Open,5,real
Starbucks431 Free,d5:6d:cf:6c:d0:e0,-89,WPA3,11,fake
FreeWiFi_2967,e4:f2:de:18:a5:d8,-42,Open,5,fake
Vodafone2104 Hotspot,09:b0:e9:2c:07:b8,-82,Open,9,fake
hotspot campus3961,e4:f2:05:86:68:ff,-70,WEP,8,fake
TPLink-1510,98:3c:77:1e:6a:ca,-33,WPA3,11,real
guest2833 lobby,bd:1f:5f:ef:03:fc,-47,Open,1,fake
NET_4562,8b:51:04:27:ba:22,-52,Open,13,real
netgear free 3021#,0d:3e:10:77:98:35,-58,Open,5,fake
mall_wifi_4697,59:82:ab:dc:c3:d3,-37,WPA2-Enterprise,10,fake
Building-190,15:64:c3:6b:7a:24,-52,WEP,12,real
LobbyGuest3426,fb:e0:14:b6:ef:60,-80,WPA2,13,fake
secure1690,22:18:46:0a:ac:bb,-80,WEP,9,fake
WiFi7670,67:c0:47:01:9a:be,-77,WPA3,3,fake
Shop-Shop25,7f:6a:d5:65:34:1b,-33,WPA2,7,fake
Cafe-6417,e9:a0:c3:08:16:09,-47,WPA2-Enterprise,11,fake
Lobby-bo,de:c9:f6:2e:2e:e5,-55,WPA3,2,fake
MyAP_8983,39:06:93:a0:51:11,-66,WPA2-Enterprise,9,real
GuestNet-GuestNet7900.,81:53:fe:a1:75:83,-75,WPA2-Enterprise,12,fake
Vodafone7445,4c:e7:60:41:40:91,-52,WPA3,3,fake
Guest5255 Hotspot,ef:f9:c1:fb:21:75,-51,WPA2,9,fake
McDonalds8293 WiFi,4f:2f:75:d3:fe:3d,-47,WPA2,10,fake
Smith-4503,4c:b7:06:5a:ce:14,-80,WEP,12,real
Public4024,66:76:a8:c9:f0:38,-80,WPA2-Enterprise,7,fake
McDonalds_Free_1771,c8:e0:01:fd:6a:45,-45,WPA3,10,fake
Linda-3061,a4:ea:05:45:7d:00,-40,Open,6,real
Smith_7947,70:5f:fc:03:8c:43,-54,WEP,1,real
NET_1611,a0:a9:1b:77:0f:58,-90,WPA3,5,real
FreeWiFi_6552,48:c8:80:4f:4d:b3,-84,Open,2,fake
NETGEAR-8159,05:1f:a4:b0:a7:d2,-43,WPA3,12,fake
Office_Free_7019,a7:4c:16:d8:c6:1a,-61,WPA3,6,fake
XfinityGuest3558-,fd:a5:b7:c1:72:a3,-36,WPA3,8,fake
hotspot-hotspot1971,77:b5:68:39:2e:82,-76,WEP,11,fake
Library_WiFi_8641,3d:7a:b5:1a:5a:00,-41,WEP,12,fake
TPLink5842 GuestNet,1b:95:93:c5:91:d4,-40,WPA3,11,fake
FreeWiFi_8095,22:ef:ee:fc:e8:d7,-44,WPA2-Enterprise,1,fake
Smith-5409,cc:a9:55:86:14:32,-69,WPA3,11,real
Office_3423,e6:8f:1a:c4:41:5d,-75,WPA3,2,real
Campus-3211,5b:d4:6b:03:d9:ae,-47,WPA2-Enterprise,8,real
Linksys-3152,89:4d:93:02:60:11,-37,WPA2-Enterprise,5,real
Campus-5G,c8:8d:08:dc:f5:40,-47,WPA2,7,real
Office-Office7111!,e0:c2:3e:ba:51:ca,-75,Open,4,fake
FreeWiFi_1918,ed:12:0d:34:89:50,-47,WPA2-Enterprise,11,fake
MyAP_5429,ee:a6:21:bb:a2:7a,-58,WPA3,1,real
Tower_7379,7d:c5:34:44:ac:6a,-83,Open,3,real
MyAP-3012,16:5c:6d:af:db:62,-48,WPA2,1,real
Anderson-5055,a1:33:98:68:9d:70,-35,WPA2,7,real
Residence-1569,76:24:6a:c7:c2:7d,-85,WEP,5,real
Anderson_7934,c7:02:c3:14:58:61,-61,WEP,11,real
Dorm-6330,4a:3a:ec:9a:e0:ff,-34,WPA2,5,real
NET-8005,24:b0:b1:f4:3c:c5,-60,WEP,3,real
Shop_Free_4061.,2b:8a:e4:6e:af:9e,-66,Open,1,fake
Free9453,65:d7:de:45:22:36,-40,Open,8,fake
Apartment-5261,22:24:7b:99:10:87,-76,Open,5,real
Office-2496,a8:e7:10:e2:3d:14,-87,WPA2,1,real
OfficeGuest4179,77:d6:6e:f1:b8:4f,-40,WEP,13,fake
John_9379,36:11:b9:12:13:f2,-67,WPA2-Enterprise,2,real
NETGEAR-GTN,a6:a3:96:57:25:83,-46,Open,13,fake
Shop2565 Secure,13:9a:59:f3:05:ba,-63,WPA2,12,fake
TPLink_WiFi_6330,8a:d9:92:63:bb:97,-42,WPA2-Enterprise,11,fake
hotelguest7816,50:a0:f3:33:34:cb,-82,WPA2-Enterprise,11,fake
Tower-4195,fb:ae:5d:fd:ee:21,-50,WPA2-Enterprise,5,real
Building-7712,c8:91:9b:d3:d7:56,-89,WPA3,8,real
John_6570,f9:4d:a7:77:98:a7,-82,WPA2,9,real
TPLink_924,6c:4e:81:43:ad:de,-57,WEP,9,real
Mall Free 1987,d4:2b:34:33:3e:78,-46,WPA3,9,fake
FreeWiFi_6410.,5c:31:e7:45:dd:7a,-30,WPA3,9,fake
shop3111,88:7f:fb:f5:a9:1b,-56,WEP,11,fake
Campus_2437,b0:96:1c:d3:df:c1,-39,WPA2,9,real
NET-7730,49:b1:ef:b6:bc:c7,-44,WEP,6,real
Mall961 Hotspot,00:bc:fc:d6:09:ff,-55,WPA3,13,fake
Hotspot5292#,04:66:04:67:43:3a,-75,WPA2-Enterprise,6,fake
Residence-6159,db:c9:d6:e8:11:32,-48,Open,2,real
Smith_343,8f:11:2b:a6:91:a7,-66,Open,12,real
Smith-6268,a5:1a:cb:72:c2:97,-78,WPA3,5,real
John_2987,98:a9:81:21:40:a0,-61,Open,11,real
Dorm-5075,3e:18:72:d8:30:7e,-46,WEP,10,real
Dorm-3478,6a:4b:3a:a1:b7:18,-89,WPA2-Enterprise,5,real
FreeWiFi_9649,96:6d:92:40:d3:f1,-71,WPA2,6,fake
Campus-745,f5:9e:4f:a4:c5:dd,-42,WPA2,8,real
Airport_WiFi_3822#,22:25:27:e5:3f:3a,-72,WEP,6,fake
Campus_5481,c9:36:8e:89:8a:f3,-33,WPA2-Enterprise,2,real
Building-1471,78:ed:27:91:9d:53,-34,WPA2-Enterprise,6,real
NETGEAR6923,0a:af:21:2a:57:b1,-72,WEP,1,fake
airport-airport!,ea:c8:4f:f1:aa:30,-70,WPA2-Enterprise,6,fake
TPLink-9635,4f:52:7f:45:7f:60,-90,Open,10,real
Linksys-2822,15:65:23:7d:a1:16,-44,Open,6,fake
Anderson-1246,07:65:10:36:fb:d2,-84,WEP,8,real
MyAP-3483,4e:dc:38:b0:db:7a,-71,WPA3,3,real
MyAP_6643,79:1a:18:ae:9c:c6,-89,WEP,7,real
NET-1521,60:e8:e6:b5:4c:16,-43,WPA2,4,real
hotspot_library4642,44:42:c2:c7:90:3e,-45,WPA3,10,fake
Building_4338,63:02:96:38:d4:29,-47,WPA2-Enterprise,6,real
Campus_6522,9c:2d:d8:6a:57:65,-32,WPA3,9,real
Home-3375,ff:ac:a0:c1:3b:fa,-64,WPA3,2,real
NETGEAR7325,22:d1:8b:5a:e2:d6,-78,Open,8,fake
Apartment-4470,7f:3c:78:7e:91:d2,-68,WPA3,1,real
John-3804,4e:69:0a:50:e6:4b,-78,WPA2,3,real
Anderson_1994,20:4d:82:9f:6c:ff,-39,WPA2,1,real
Airport_Free_994,71:66:aa:4c:1c:6e,-39,WPA2-Enterprise,4,fake
Home-2820,24:a6:d6:50:e4:f0,-82,Open,12,real
Home_6851,b7:3c:19:3a:01:87,-88,Open,11,real
Office_1756,f8:bd:d4:fe:52:49,-68,Open,1,real
Office-3437,75:41:77:6c:5e:98,-37,WEP,2,real
Anderson_9035,e5:1f:40:c4:8e:a9,-73,WPA2,10,real
Office_BT8018,bb:d8:e3:0b:78:42,-79,WPA2-Enterprise,8,fake
Campus3581!,ad:37:74:be:ac:38,-30,WEP,2,fake
Linksys-2492,e8:9d:34:62:d2:af,-36,WEP,1,real
CampusGuest1203,28:37:27:f8:53:49,-62,WPA2-Enterprise,6,fake
Linda-7497,4d:57:7d:8e:08:76,-48,WPA3,6,real
Lobby4005,af:dc:af:95:5a:3a,-61,Open,3,fake
MyAP-6570,e1:15:70:5f:8f:72,-88,WEP,11,real
Linda-5553,2d:8f:95:46:5a:45,-78,WPA2,13,real
Secure6899,18:a1:52:df:df:f5,-66,WPA2-Enterprise,2,fake
Apartment_7004,dc:63:e4:34:81:f6,-32,WEP,2,real
Dorm-4891,ac:61:3c:ea:c2:82,-39,Open,8,real
Linksys3620 Guest.,56:78:b0:b8:a8:2c,-69,WPA3,7,fake
Tower-5524,04:36:8d:9b:4c:2b,-85,WEP,5,real
Tower_6186,f0:85:67:5d:cd:3f,-61,Open,10,real
Apartment_9802,56:b7:22:c8:a9:0b,-78,WEP,3,real
WiFi980,f7:9d:25:cb:a0:1c,-83,WPA2-Enterprise,7,fake
Free-Free6393,a7:43:95:8c:dd:00,-39,WPA3,7,fake
Anderson-4493,29:62:64:b9:33:84,-46,WPA2-Enterprise,10,real
Apartment_AP,42:81:19:09:61:c8,-54,WEP,9,real
shop8762,c8:2d:01:6d:ff:6f,-37,Open,11,fake
Office_5832,43:eb:44:4d:9e:00,-83,WPA2,4,real
Starbucks_WiFi_5564,b9:68:05:6f:1f:62,-52,Open,6,fake
Campus_WiFi_253,6e:d0:84:eb:b0:c2,-86,WPA3,9,fake
Hotel_WiFi_5813,06:80:6e:4d:9d:96,-46,WPA3,5,fake
Anderson_8961,7b:9b:3c:b3:ec:b3,-57,WPA3,13,real
Office-6359,fb:53:99:c0:36:ac,-49,WPA2,3,real
NETGEAR4683 Home,7f:10:c4:ae:ba:a7,-33,Open,8,fake
John-4203,d1:3a:63:ca:7f:e7,-52,WPA2,10,real
Smith_5405,c3:46:1a:d1:98:d0,-59,Open,12,real
Linksys_4671,00:60:2e:79:65:ef,-35,WPA2-Enterprise,5,real
John-1523,88:cc:eb:2f:93:71,-43,WPA2-Enterprise,7,real
NET_1995,0b:f1:77:2c:8f:a8,-50,WPA2,12,real
Home_84,c2:64:54:f3:7a:ee,-76,WPA2-Enterprise,8,real
Tower-4460,8d:ea:99:53:92:6f,-34,WPA2,2,real
Dorm-7811,5c:df:c2:0a:ab:01,-83,WEP,3,real
Vodafone7595 Hotspot,f6:50:b8:e2:c1:64,-74,WPA2-Enterprise,7,fake
mywifi7756,3c:6e:0f:6d:6d:0b,-75,Open,6,fake
Campus-730,8b:5c:55:d3:b2:ac,-32,WPA2,12,fake
Dorm-9723,67:fc:8d:cf:f2:fc,-61,WPA3,5,real
_Guest9150,20:01:f5:be:a1:30,-34,WPA2,4,fake
MyAP_6464,19:df:c6:1c:21:eb,-46,WPA3,8,real
Residence_7430,a5:25:d2:0c:b7:f8,-65,WPA3,2,real
Hotel3969 Hotspot-,1c:43:58:b3:b8:81,-57,WPA2,1,fake
Dorm_3992,7e:a9:3d:8e:94:59,-78,WPA2,4,real
FreeWiFi 1960,9f:f7:02:54:c6:e4,-46,WPA2,13,fake
Campus_3549,2e:a8:af:17:8e:fa,-30,Open,13,real
airport_guest,e3:bc:37:92:6e:50,-57,Open,9,fake
ShopGuest1033-,c0:23:3a:6e:35:6b,-71,WPA2-Enterprise,10,fake
Public4568-,9c:0a:ae:2b:78:be,-62,WPA3,12,fake
Smith-2514,f4:42:af:f9:9b:18,-81,WPA3,11,real
Vodafone_WiFi_3023,d0:11:98:f7:e1:af,-49,WPA2-Enterprise,11,fake
Anderson_398,0c:a2:cd:32:01:1b,-75,Open,5,real
Linda_1018,2e:c6:9a:6a:19:95,-80,WPA2-Enterprise,9,real
Linksys_1676,b1:a0:a0:a9:f3:9e,-67,Open,3,real
Office4437,0f:09:39:2b:36:cd,-37,WEP,7,fake
TPLink_610,b1:6a:3f:6f:ec:ae,-51,WPA2-Enterprise,4,real
Lobby_Free_2068,b6:27:c7:b4:36:b1,-64,Open,10,fake
Linda-2944,09:44:b8:3b:23:5d,-75,WEP,8,real
Secure Campus9758,50:77:c5:23:64:c3,-42,WPA3,13,fake
Cafe WiFi 3222,b7:10:eb:a1:6f:1c,-87,WPA2-Enterprise,8,fake
Campus-1832,e8:39:b4:82:9d:9c,-41,WEP,8,fake
cafe_airport8677,80:35:9d:7c:dc:ee,-76,Open,2,fake
Linksys WiFi 5621,a0:29:49:c6:f4:b8,-53,Open,2,fake
MyAP-3979,66:18:ed:e8:37:ae,-59,Open,8,real
Starbucks-6295,e3:ef:50:b2:c4:f1,-39,WEP,5,fake
Dorm_4170,f9:2a:41:4f:1a:bd,-66,WPA3,9,real
Tower_5678,f7:c6:80:06:d0:37,-84,WPA2-Enterprise,13,real
Free2855 Home,21:37:b1:ae:58:87,-73,WPA2-Enterprise,9,fake
Campus_6839,0d:7d:8f:0b:5e:2d,-36,WPA2-Enterprise,9,real
Smith_6437,15:d3:ed:67:d5:4a,-36,WEP,3,real
Tower_9186,c5:6d:df:b9:62:1e,-38,WPA2-Enterprise,9,real
Guest9854,c6:a6:a6:44:a1:4e,-65,Open,4,fake
MyWiFiGuest9956,c8:9e:08:02:d1:40,-67,Open,4,fake
BT_WiFi_8077,04:7a:6d:b3:d0:56,-49,WEP,8,fake
Linksys_WiFi_3288,a7:5c:b7:d1:19:a0,-89,WPA2,4,fake
Linda_4974,70:fc:fa:24:80:e5,-35,WPA2-Enterprise,11,real
Smith-7510,f7:cc:a9:b9:e2:41,-77,WPA2,10,real
FreeWiFi_6685,c2:96:d2:bd:fe:37,-86,WPA3,11,fake
Apartment_8517,c4:ab:ef:c4:ac:8d,-53,Open,8,real
Mall_WiFi_8105,35:16:c9:95:b8:0d,-49,Open,13,fake
Cafe-Cafe7718,41:4b:6f:6f:bc:eb,-44,WEP,12,fake
Anderson_502,ff:aa:d5:93:0b:ce,-59,WPA2,4,real
Linda_643,1c:5c:d7:4b:d7:4c,-57,WPA2-Enterprise,6,real
Airport_WiFi_3537.,f4:d1:48:d3:cb:66,-41,WEP,3,fake
Residence_525,ba:07:82:2b:b2:a4,-72,WPA3,4,real
Apartment-1730,7c:19:c6:04:6b:8d,-89,WEP,11,real
John-3561,ef:9a:af:61:5d:63,-90,WEP,2,real
Residence_8822,8b:fb:99:35:d6:d3,-57,Open,8,real
Tower-9591,e5:11:62:4c:de:28,-52,WEP,13,real
FreeWiFi_8204,6b:55:69:a2:72:24,-60,Open,9,fake
Mall5131 Home,57:d2:71:aa:34:2e,-41,Open,2,fake
Office WiFi 2897,22:9e:e3:58:de:35,-54,WEP,11,fake
Residence_Home,c7:3c:6d:c3:da:da,-84,WPA2-Enterprise,10,real
Mall4463,7f:05:80:c5:f4:23,-30,Open,8,fake
Starbucks-9890,f2:d7:d2:f9:8c:86,-33,WPA3,1,fake
John-4512,17:ce:8e:79:eb:dd,-49,Open,2,real
Hotel-oH,9b:fd:78:50:e9:20,-53,WEP,2,fake
Vodafone_Free_3090,9e:b4:b2:9f:bd:92,-74,WPA3,13,fake
Free-644,d1:f2:a3:39:62:ea,-65,WPA3,12,fake
Cafe_Free_4153,bd:6b:f7:6f:4d:b8,-32,WEP,2,fake
Linksys-7871,aa:0c:04:f7:d6:af,-66,WPA3,1,real
Residence_2396,42:0d:df:8c:4a:ef,-76,WPA2,13,real
NET-7292,8d:d6:60:71:ef:c7,-37,WPA2-Enterprise,11,real
cafe9029,e9:3d:e1:be:80:65,-63,WPA2,12,fake
vodafone_free_595,df:2f:d1:48:f8:7f,-48,WPA2-Enterprise,3,fake
Linksys7270,5b:ee:06:98:0c:28,-42,Open,11,fake
Residence_3368,70:5a:1d:96:82:c6,-54,WPA2,2,real
Network-Network2625,f0:34:83:3b:c7:9c,-79,WPA2,4,fake
shop-oh_,f1:36:85:e4:53:4d,-69,Open,5,fake
Vodafone_WiFi_5059,8b:5c:82:c1:a5:d8,-59,WPA2-Enterprise,6,fake
Office-1495,81:32:2f:30:42:e9,-59,WEP,12,real
Hotel8759,86:87:a7:b3:0e:d4,-53,Open,10,fake
Apartment-3129,22:87:98:e6:db:e2,-51,WPA3,8,real
Linksys_4339,8c:94:b8:31:74:e4,-42,WPA2,13,real
Linksys_Free_9406,93:25:c9:2a:6c:18,-59,Open,1,fake
Smith-3030,f2:cb:a4:be:03:87,-30,WPA2-Enterprise,10,real
FreeWiFi_3872,19:ea:f5:69:39:59,-83,WPA2,7,fake
NET_4298,33:40:9d:4a:9d:ca,-53,WPA3,10,real
Library7012,7d:22:f5:52:47:91,-86,WEP,8,fake
Xfinity4259!,41:f6:24:be:e4:f4,-78,WPA2-Enterprise,1,fake
NETGEAR_Free_6531,b0:60:42:79:f4:61,-68,WPA2-Enterprise,10,fake
freewifi_5235,5a:04:c3:5e:0c:b2,-84,WPA3,3,fake
LinksysGuest734,89:c2:91:47:06:f7,-61,WPA2-Enterprise,10,fake
Smith-2709,15:f5:95:69:9c:19,-80,WPA2,8,real
Tower_5342,77:ff:e1:12:e2:d3,-61,Open,1,real
freewifi 8535,90:24:6f:12:ef:d7,-76,WPA2-Enterprise,5,fake
Smith-3102,7d:b9:5e:2a:dd:59,-60,WPA2-Enterprise,11,real
Residence-5185,24:f1:34:50:86:b5,-61,WPA2,6,real
Tower_9892,f5:ca:b7:a8:f0:38,-37,WPA2-Enterprise,12,real
Campus_4431,68:37:f1:8a:5d:4c,-89,WPA2-Enterprise,10,real
John-9171,ff:8a:e8:aa:0e:24,-75,WPA3,3,real
Guest5606,e3:22:22:1a:e5:1e,-78,WPA2-Enterprise,7,fake
Apartment_3284,26:62:a5:2a:c3:57,-59,WPA3,4,real
Anderson-1198,9f:34:ab:92:7d:33,-67,WPA2-Enterprise,10,real
Free-1976,3c:9d:4d:93:1f:c1,-83,WPA2-Enterprise,3,fake
Home137,df:f3:93:7d:95:44,-80,WPA3,13,fake
TPLink_1624,f3:16:4c:61:36:cc,-78,Open,2,real
Linksys_Free_115_,c4:98:11:13:e1:36,-42,Open,5,fake
linksysguest2048,c7:c7:41:18:1f:71,-62,WPA2,11,fake
FreeWiFi 3697_,36:4f:51:a8:67:13,-73,WPA2,3,fake
linksysguest9116,bf:7e:df:f9:9b:83,-79,WEP,12,fake
MyAP_7535,19:a4:bd:77:2d:13,-54,WPA2,8,real
TPLink-4119,ee:28:56:21:00:ca,-41,Open,13,fake
GuestNet-GuestNet4271,4b:28:6d:2a:65:08,-42,WEP,11,fake
Campus_5156,3b:2a:98:da:66:52,-69,Open,5,real
NETGEAR Free 3321,49:5e:ca:93:ae:18,-40,WPA2,13,fake
freewifi_967,ec:83:5d:5b:90:fe,-33,WPA2,10,fake
CafeGuest4124,c6:3c:50:70:dd:f1,-56,WPA2,8,fake
FreeWiFi_7277,0c:7c:28:d6:c9:2e,-53,WPA2-Enterprise,2,fake
Anderson-4324,f5:eb:46:3f:9d:3c,-85,WPA2,12,real
Tower_3164,f9:e9:ff:31:dc:7d,-38,WPA3,11,real
Free_Free_550#,8b:7a:86:4a:27:d3,-61,WEP,13,fake
Free-re,e2:30:2c:d7:1b:dd,-40,WPA3,5,fake
Linda-9884,40:b3:fe:95:b0:53,-37,WEP,2,real
TPLink-5694,73:01:2d:59:fe:ca,-45,WEP,13,real
LinksysGuest1641-,6f:6d:1e:ae:13:84,-74,Open,10,fake
Free-2395_,e3:7e:18:15:e6:2c,-87,WPA3,12,fake
Smith-1048,45:36:66:3b:4b:5b,-70,WPA3,11,real
John-1012,cc:38:13:61:68:69,-60,WPA3,3,real
Office_3754,49:4f:06:bc:d6:b2,-51,WEP,1,real
Smith_4539,06:d6:df:35:3e:11,-48,WPA3,13,real
Lobby_WiFi_904,1b:7c:60:70:18:9e,-52,WPA2-Enterprise,1,fake
MyWiFi9703 Network,1c:d3:2c:f3:bf:6c,-74,WPA2,1,fake
NET-9973,cf:63:7d:59:04:57,-56,WPA3,6,real
Guest_NETGEAR6924,15:d7:43:a5:f7:82,-87,WPA2-Enterprise,12,fake
Guest6863.,b2:7e:c9:04:ca:ca,-69,Open,13,fake
Campus-Campus,81:6a:b6:2c:65:2a,-72,Open,10,fake
Apartment-1563,4e:ec:75:d3:9d:1e,-78,WPA3,3,real
Linksys-8469,16:51:46:07:1d:78,-39,Open,10,real
Home-Home8083,73:62:b2:fb:93:14,-88,WEP,3,fake
Building_5639,f8:1d:35:3b:3c:d5,-49,WEP,1,real
Residence_2173,d5:f9:da:8b:21:03,-79,WPA2-Enterprise,5,real
Hotel_WiFi_1364,4e:93:a8:37:eb:06,-40,WPA3,9,fake
Campus4112,da:a5:01:be:88:5b,-68,WPA2,4,fake
Apartment-3294,94:b5:7c:c2:34:74,-31,WPA2-Enterprise,7,real
Linksys-3575,59:d9:fd:33:69:55,-32,WPA3,8,real
Residence-882,f9:f6:82:50:63:3f,-64,WPA3,3,real
CafeGuest5606,ff:58:82:c9:f8:4c,-74,WPA2,11,fake
McDonalds-scaM,cb:c3:b5:4c:87:14,-50,WPA2,4,fake
 Guest- Guest5914,c5:95:a8:42:eb:bc,-81,WPA2-Enterprise,9,fake
Anderson_9768,b5:3f:f0:c6:9d:6e,-53,Open,8,real
Anderson_5777,02:09:49:73:ea:a8,-89,WPA2-Enterprise,11,real
Xfinity822_,57:d2:cb:ce:d5:de,-50,WPA3,1,fake
Campus-7226,74:d3:c8:55:83:65,-34,WEP,9,real
Campus_3986,b9:ab:c4:39:6f:8b,-81,Open,1,real
Building_441,0a:62:ee:0f:1c:60,-63,Open,1,real
Office-Office9251,bc:e6:7e:c5:44:e1,-56,WEP,9,fake
Building-5054,4d:22:13:87:2b:14,-48,WEP,5,real
TPLink_7721,de:9c:ef:07:1a:d2,-82,WPA2-Enterprise,1,real
Residence_2859,13:46:3a:0a:4e:da,-82,WPA2,12,real
Office_8503,75:f5:df:1f:66:25,-59,WPA2-Enterprise,13,real
Anderson_3981,52:bf:13:9a:47:56,-57,Open,8,real
Campus-3897,af:73:11:6a:a4:66,-46,WPA2,3,fake
Guest7380,1b:48:8b:b4:b4:b8,-56,WPA2,1,fake
Library3953,d1:48:21:5a:3f:40,-51,WPA2-Enterprise,9,fake
_guest_bt906,49:f8:1e:dd:f1:2f,-58,WPA2-Enterprise,12,fake
